invariant,actual,target,status,basis,caveat
PCR median GT wait vs tau*,5.09 h,4.32 +/-20%,PASS,the pull equation binding,""
PCR GT wait p95,24.6 h,<= 28 h,PASS,L0 observed p95,""
PCR GT wait max (R5),68.8 h,<= 72 h,PASS,hard,""
PCR GT wait below tau_min (R17),0,0,PASS,press starvation risk (released tyres only),""
PCR cure campaigns in 40-75 h band,17% (p50 169 h),>= 80%,FAIL,"ENGINE_FLOW calibrated band, 8-month validated",""
PCR build slices per cure campaign,8.8,~11 +/-30%,PASS,L0 cure p50 / build p50,""
PCR cure lots below min_cure_lot,0,0,PASS,R9,""
PCR build runs below min_lot (150),0.0%,<= 16%,PASS,B12 / R9 -- gated at the plant's own sub-floor share,""
PCR build changeovers / machine-day,2.40,<= 2.66,PASS,"plant July, config.plant_co_per_machine_day",""
PCR same-size share of build changeovers,91.4%,>= 70%,PASS,"plant July: PCR 91.5%, TBR 100%",""
PCR WEIGHTED build changeover min/machine-day,64.7,<= 74.0,PASS,per-machine minutes from v_changeover_build,""
PCR realised n_g (concurrent presses/GT),3.01,>= 2.95,PASS,plant measured 3.25,same mis-mined n_g floor
PCR mean GT inventory (G8),"4,096","4,500-4,800",FAIL,"plant PCR 4,772 / TBR 1,743",""
PCR last-day GT inventory (G8),"1,226",">= 4,500",FAIL,"G8 'every day incl. the last'; DETECTOR -- cause is the demand horizon, never fix by forcing closing stock",""
PCR concurrent presses > active moulds,0,0,PASS,R3,""
PCR mould changes / press-day occupied,0.04,<= 0.08,PASS,"plant July 2026, press-days occupied",""
TBR median GT wait vs tau*,7.21 h,4.81 +/-20%,FAIL,the pull equation binding,""
TBR GT wait p95,31.7 h,<= 28 h,FAIL,L0 observed p95,""
TBR GT wait max (R5),71.8 h,<= 72 h,PASS,hard,""
TBR GT wait below tau_min (R17),0,0,PASS,press starvation risk (released tyres only),""
TBR cure campaigns in 200-330 h band,23% (p50 256 h),>= 80%,FAIL,"ENGINE_FLOW calibrated band, 8-month validated",""
TBR build slices per cure campaign,18.0,~35 +/-30%,FAIL,L0 cure p50 / build p50,""
TBR cure lots below min_cure_lot,0,0,PASS,R9,""
TBR build runs below min_lot (70),0.0%,<= 34%,PASS,B12 / R9 -- gated at the plant's own sub-floor share,plant itself runs 40.3% -- gate too strict
TBR build changeovers / machine-day,2.84,<= 3.56,PASS,"plant July, config.plant_co_per_machine_day",plant itself runs 3.70 -- gate too strict
TBR same-size share of build changeovers,100.0%,>= 70%,PASS,"plant July: PCR 91.5%, TBR 100%",""
TBR WEIGHTED build changeover min/machine-day,28.4,<= 35.6,PASS,per-machine minutes from v_changeover_build,plant itself 37.3 -- too strict
TBR realised n_g (concurrent presses/GT),2.45,>= 2.81,FAIL,plant measured 3.11,plant runs 1.69; this floor demands MORE dispersion than the plant uses
TBR mean GT inventory (G8),"1,236","1,200-1,500",PASS,"plant PCR 4,772 / TBR 1,743",""
TBR last-day GT inventory (G8),889,">= 1,200",FAIL,"G8 'every day incl. the last'; DETECTOR -- cause is the demand horizon, never fix by forcing closing stock",""
TBR concurrent presses > active moulds,0,0,PASS,R3,""
TBR mould changes / press-day occupied,0.03,<= 0.04,PASS,"plant July 2026, press-days occupied",""
PCR same-day build/cure correlation,+0.929,>= 0.90,PASS,Phase 0 observed 0.92 / 0.94,""
TBR same-day build/cure correlation,+0.860,>= 0.90,FAIL,Phase 0 observed 0.92 / 0.94,""
PCR demand fulfilment,96.6%,>= 99%,FAIL,"IN-MONTH output vs plannable requirement, THIS PLANT",""
PCR carry-out tail (excluded from fulfilment),"6,762",reported,PASS,cured after month end -- next month's output,""
TBR demand fulfilment,94.5%,>= 99%,FAIL,"IN-MONTH output vs plannable requirement, THIS PLANT",""
TBR carry-out tail (excluded from fulfilment),"1,918",reported,PASS,cured after month end -- next month's output,""
demand fulfilment,96.2%,>= 99%,FAIL,"plant TOTAL, IN-MONTH -- never judge a change on this alone, see DO-NOT #14",""
residual demand flagged not dropped,"17 GTs / 1,701 tyres",100% flagged,PASS,B12 step 6,""
